Name,Rarity,Type,SubType,Attunement,Notes
Fernian Ash Focus,Common,Wondrous Item,No SubType,Required,"['Combat', 'Focus']"

Feywild Shard,Uncommon,Wondrous Item,No SubType,Required,['sorcerer']

Figurine of Wondrous Power,Varies,Wondrous Item,No SubType,Not Required,['Summoning']

Finder�s Goggles,Uncommon,Wondrous Item,No SubType,Required,"['Bonus: Insight', 'creature with the Mark of Finding', 'Buff', 'Detection', 'Eyewear']"

Flail of Tiamat,Legendary,Weapon,Flail,Required,"['Bonus: Magic', 'Damage: Acid', 'Damage: Cold', 'Damage: Fire', 'Damage: Lightning', 'Damage: Poison']"

Flame Tongue,Rare,Weapon,Longsword,Required,"['Damage: Fire', 'Damage', 'Combat', 'Versatile']"

Flying Chariot,Rare,Wondrous Item,No SubType,Not Required,['Bonus: Armor Class']

Folding Boat,Rare,Wondrous Item,No SubType,Not Required,"['Movement', 'Utility', 'Exploration']"

Frost Brand,Very Rare,Weapon,Longsword,Required,"['Damage: Cold', 'Resistance: Fire', 'Damage', 'Combat', 'Versatile']"

Fulminating Treatise,Rare,Wondrous Item,No SubType,Required,['wizard']

Galder�s Bubble Pipe,Rare,Wondrous Item,No SubType,Required,['']

Gambler�s Blade,Rare,Weapon,No SubType,Required,['Bonus: Magic']

Gauntlets of Flaming Fury,Rare,Wondrous Item,No SubType,Required,"['Damage: Fire', 'Damage', 'Combat', 'Handwear']"

Gauntlets of Ogre Power,Uncommon,Wondrous Item,No SubType,Required,"['Set: Strength Score', 'Buff', 'Handwear']"

Gavel of the Venn Rune,Rare,Wondrous Item,No SubType,Required,"['Damage', 'Utility', 'Warding']"

Gem of Brightness,Uncommon,Wondrous Item,No SubType,Not Required,"['Blinded', 'Control', 'Debuff']"

Gem of Seeing,Rare,Wondrous Item,No SubType,Required,"['Sense: Truesight', 'Detection']"

Ghost Lantern,Rare,Wondrous Item,No SubType,Required,"['Healing', 'Utility', 'Exploration']"

Ghost Step Tattoo,Very Rare,Wondrous Item,No SubType,Required,['']

Giant Slayer,Rare,Weapon,Battleaxe,Not Required,"['Bonus: Magic', 'Damage: Additional', 'Damage', 'Combat', 'Versatile']"

Glamerweave,Varies,Wondrous Item,No SubType,Not Required,['']

Glamoured Studded Leather,Rare,Armor,Studded Leather,Not Required,"['Bonus: Armor Class', 'Utility', 'Combat', 'Deception', 'Warding']"

Gloves of Missile Snaring,Uncommon,Wondrous Item,No SubType,Required,"['Warding', 'Handwear']"

Gloves of Soul Catching,Legendary,Wondrous Item,No SubType,Required,['Set: Constitution Score']

Gloves of Swimming and Climbing,Uncommon,Wondrous Item,No SubType,Required,"['Buff', 'Movement', 'Exploration']"

Gloves of Thievery,Uncommon,Wondrous Item,No SubType,Not Required,['Bonus: Sleight of Hand']

Gnomengarde Grenade,Varies,Wondrous Item,No SubType,Not Required,"['Damage: Fire', 'Damage: Thunder']"

Goggles of Night,Uncommon,Wondrous Item,No SubType,Not Required,"['Sense: Darkvision', 'Detection', 'Eyewear']"

Goggles of Object Reading,Uncommon,Wondrous Item,No SubType,Required,['Advantage: Arcana']

Gold Canary Figurine of Wondrous Power,Legendary,Wondrous Item,No SubType,Not Required,['']

Greater Silver Sword,Legendary,Weapon,Greatsword,Required,"['Bonus: Magic', 'Advantage: Intelligence Saving Throws', 'Advantage: Wisdom Saving Throws', 'Advantage: Charisma Saving Throws', 'Immunity: Charmed', 'Resistance: Psychic', 'creature that has psionic ability', 'Damage', 'Buff', 'Heavy', 'Two-Handed']"

Green Dragon Mask,Legendary,Wondrous Item,No SubType,Required,"['Resistance: Poison', 'Bonus: Unarmored Armor Class', 'Sense: Darkvision', 'Sense: Blindsight', 'Language: Draconic', 'Advantage: Charisma Ability Checks', 'Buff']"

Grimoire Infinitus,Legendary,Wondrous Item,No SubType,Required,['wizard']

Grovelthrash,Artifact,Weapon,Warhammer,Required,"['Language: Abyssal', 'Language: Infernal', 'Bonus: Magic', 'Damage: Bludgeoning', 'Advantage: Insight', 'Versatile']"

Guardian Emblem,Uncommon,Wondrous Item,No SubType,Required,['cleric or paladin']

Guild Keyrune,Varies,Wondrous Item,No SubType,Required,['member of the relevant guild']

Guild Signet,Uncommon,Ring,No SubType,Required,['']

Gulthias Staff,Rare,Staff,No SubType,Required,"['Damage', 'Buff', 'Combat']"

Gurt�s Greataxe,Legendary,Weapon,Greataxe,Required,"['Bonus: Magic', 'Damage: Slashing', 'Damage', 'Bane', 'Heavy', 'Two-Handed']"

Hammer of Thunderbolts,Legendary,Weapon,Maul,Required,"['Stacking Bonus: Strength Score', 'Bonus: Magic', 'Bonus: Ability Score Maximum', 'Damage', 'Buff', 'Combat', 'Heavy', 'Two-Handed']"

Handy Haversack,Rare,Wondrous Item,No SubType,Not Required,"['Utility', 'Container']"

Harkon�s Bite,Uncommon,Wondrous Item,No SubType,Required,"['Bonus: Ability Checks', 'Bonus: Saving Throws']"

Hat of Disguise,Uncommon,Wondrous Item,No SubType,Required,"['Deception', 'Headwear']"

Hat of Vermin,Common,Wondrous Item,No SubType,Not Required,['']

Hat of Wizardry,Common,Wondrous Item,No SubType,Required,['wizard']

Hazirawn,Legendary,Weapon,Greatsword,Required,"['Bonus: Magic', 'Damage: Necrotic', 'Damage', 'Buff', 'Combat', 'Sentient', 'Heavy', 'Two-Handed']"

Headband of Intellect,Uncommon,Wondrous Item,No SubType,Required,"['Set: Intelligence Score', 'Buff', 'Headwear']"

Heart Weaver�s Primer,Rare,Wondrous Item,No SubType,Required,['wizard']

Hell Hound Cloak,Rare,Wondrous Item,No SubType,Required,"['Buff', 'Shapechanging', 'Cursed']"

Hellfire Weapon,Uncommon,Weapon,No SubType,Not Required,"['Damage', 'Combat']"

Helm of Brilliance,Very Rare,Wondrous Item,No SubType,Required,"['Resistance: Fire', 'Damage', 'Detection', 'Combat', 'Warding', 'Headwear']"

Helm of Comprehending Languages,Uncommon,Wondrous Item,No SubType,Not Required,"['Communication', 'Headwear']"

Helm of Devil Command,Very Rare,Wondrous Item,No SubType,Required,['creature that can speak Infernal']

Helm of Telepathy,Uncommon,Wondrous Item,No SubType,Required,"['Communication', 'Detection', 'Headwear']"

Helm of Teleportation,Rare,Wondrous Item,No SubType,Required,"['Teleportation', 'Headwear']"

Helm of the Gods,Rare,Wondrous Item,No SubType,Required,['Headwear']

Helm of the Scavenger,Legendary,Wondrous Item,No SubType,Required,['spellcaster']

Helm of Underwater Action,Uncommon,Wondrous Item,No SubType,Required,"['Set Base: Darkvision', 'Set: Speed (Swimming)', 'Movement', 'Exploration']"

Hew,Uncommon,Weapon,Battleaxe,Not Required,"['Bonus: Magic', 'Damage', 'Combat', 'Versatile']"

Heward�s Handy Spice Pouch,Common,Wondrous Item,No SubType,Not Required,['Social']

Heward�s Hireling Armor,Very Rare,Armor,Leather,Required,['Bonus: Armor Class']

Heward's Handy Haversack,Rare,Wondrous Item,No SubType,Not Required,"['Utility', 'Container']"

Hide of the Feral Guardian,Legendary,Armor,Studded Leather,Required,"['Bonus: Magic', 'Bonus: Armor Class']"

Holy Avenger,Legendary,Weapon,Longsword,Required,"['Bonus: Magic', 'Damage: Radiant', 'Advantage: Saving Throws', 'Paladin', 'Damage', 'Combat', 'Warding', 'Versatile']"

Holy Symbol of Ravenkind,Legendary,Wondrous Item,No SubType,Required,"['cleric or paladin of good alignment', 'Control', 'Bane']"

Hook of Fisher�s Delight,Rare,Wondrous Item,No SubType,Not Required,['']

Horn of Blasting,Rare,Wondrous Item,No SubType,Not Required,"['Damage: Thunder', 'Deafened', 'Damage', 'Debuff', 'Combat']"

Horn of Silent Alarm,Common,Wondrous Item,No SubType,Not Required,['']

Horn of the Endless Maze,Rare,Wondrous Item,No SubType,Not Required,['Summoning']

Horn of Valhalla,Varies,Wondrous Item,No SubType,Not Required,['Summoning']

Horned Ring,Very Rare,Ring,No SubType,Required,"['Warding', 'Jewelry']"

Horseshoes of a Zephyr,Very Rare,Wondrous Item,No SubType,Not Required,"['Movement', 'Exploration']"

Horseshoes of Speed,Rare,Wondrous Item,No SubType,Not Required,"['Buff', 'Movement', 'Exploration']"

Hunter's Coat,Very Rare,Armor,Leather,Required,"['Bonus: Armor Class', 'Combat', 'Warding']"

Icon of Ravenloft,Legendary,Wondrous Item,No SubType,Required,"['Creature of Good Alignment', 'Healing', 'Utility']"

Iggwilv's Cauldron,Artifact,Wondrous Item,No SubType,Required,['spellcaster']

Illuminator�s Tattoo,Common,Wondrous Item,No SubType,Required,['']

Illusionist's Bracers,Very Rare,Wondrous Item,No SubType,Required,"['Utility', 'Combat', 'Cantrip', 'spellcaster', 'Wristwear']"

Imbued Wood Focus,Common,Wondrous Item,No SubType,Required,['']

Immovable Rod,Uncommon,Rod,No SubType,Not Required,['Utility']

Infernal Puzzle Box,Uncommon,Wondrous Item,No SubType,Not Required,['']

Infernal Tack,Legendary,Wondrous Item,No SubType,Required,"['creature of evil alignment', 'Summoning']"

Infiltrator�s Key,Legendary,Wondrous Item,No SubType,Required,"['Advantage: Stealth', ""Proficiency: Thieves' Tools"", 'Advantage: Ability Checks']"

Ingot of the Skold Rune,Very Rare,Wondrous Item,No SubType,Required,"['Bonus: Armor Class', 'Warding']"

Inquisitive�s Goggles,Uncommon,Wondrous Item,No SubType,Required,['']

Insignia of Claws,Uncommon,Wondrous Item,No SubType,Not Required,"['Bonus: Natural Attacks', 'Damage: Natural Attacks', 'Damage', 'Buff', 'Combat']"

Instant Fortress,Rare,Wondrous Item,No SubType,Not Required,"['Utility', 'Warding']"

Instrument of Illusions,Common,Wondrous Item,No SubType,Required,['']

Instrument of Scribing,Common,Wondrous Item,No SubType,Required,['']

Instrument of the Bards,Varies,Wondrous Item,No SubType,Required,"['bard', 'Damage', 'Control', 'Buff', 'Utility', 'Exploration', 'Combat', 'Instrument']"

Ioun Stone,Varies,Wondrous Item,No SubType,Required,"['Bonus: Armor Class', 'Bonus: Charisma Score', 'Bonus: Constitution Score', 'Bonus: Hit Points', 'Bonus: Intelligence Score', 'Bonus: Strength Score', 'Bonus: Wisdom Score', 'Bonus: Dexterity Score', 'Buff', 'Detection', 'Utility', 'Warding']"

Ioun Stone of Historical Knowledge,Rare,Wondrous Item,No SubType,Required,"['Proficiency: History', 'Buff']"

Ioun Stone of Language Knowledge,Rare,Wondrous Item,No SubType,Required,['Buff']

Ioun Stone of Natural Knowledge,Rare,Wondrous Item,No SubType,Required,"['Proficiency: Nature', 'Buff']"

Ioun Stone of Religious Knowledge,Rare,Wondrous Item,No SubType,Required,"['Proficiency: Religion', 'Buff']"

Ioun Stone of Self-Preservation,Rare,Wondrous Item,No SubType,Required,"['Bonus: Intelligence Saving Throws', 'Buff']"

Ioun Stone of Supreme Intellect,Rare,Wondrous Item,No SubType,Required,"['Bonus: Intelligence Ability Checks', 'Buff']"

Ioun Stone of Vitality,Very Rare,Wondrous Item,No SubType,Required,"['Bonus: Saving Throws', 'Healing']"

Irian Rosewood Focus,Common,Wondrous Item,No SubType,Required,"['Combat', 'Focus']"

Iron Bands of Bilarro,Rare,Wondrous Item,No SubType,Not Required,"['Control', 'Utility']"

Iron Bands of Binding,Rare,Wondrous Item,No SubType,Not Required,"['Control', 'Utility']"

Iron Flask,Legendary,Wondrous Item,No SubType,Not Required,['Control']

Ironfang,Legendary,Weapon,War Pick,Required,"['Bonus: Magic', 'Damage: Thunder', 'Resistance: Acid', 'Language: Terran', 'Sense: Tremorsense', 'Damage', 'Buff', 'Combat']"

Javelin of Backbiting,Very Rare,Weapon,Javelin,Required,"['Bonus: Magic', 'Damage: Additional', 'Bonus: Weapon Attack Range', 'Damage', 'Buff', 'Combat', 'Cursed', 'Thrown']"

Javelin of Lightning,Uncommon,Weapon,Javelin,Not Required,"['Damage: Lightning', 'Damage', 'Combat', 'Thrown']"

Keoghtom's Ointment,Uncommon,Wondrous Item,No SubType,Not Required,"['Bonus: Hit Points', 'Ceases Poison', 'Cures Diseases', 'Healing', 'Consumable']"

Keycharm,Common,Wondrous Item,No SubType,Required,['creature with the Mark of Warding']

"Khrusor, Spear of Heliod",Artifact,Weapon,Spear,Required,"['Bonus: Magic', 'Damage: Radiant', 'Thrown', 'Versatile']"

Knave�s Eye Patch,Rare,Wondrous Item,No SubType,Required,['Advantage: Perception']

Korolnor Scepter,Legendary,Wondrous Item,No SubType,Required,"['Bonus: Magic', 'Teleportation', 'Damage', 'Control']"

Kyrzin's Ooze,Very Rare,Wondrous Item,No SubType,Required,"['Immunity: Poisoned', 'Resistance: Acid', 'Resistance: Poison', 'Buff', 'Utility']"

Kythrian Manchineel Focus,Common,Wondrous Item,No SubType,Required,"['Combat', 'Focus']"

Lamannian Oak Focus,Common,Wondrous Item,No SubType,Required,"['Combat', 'Focus']"

Lantern of Revealing,Uncommon,Wondrous Item,No SubType,Not Required,['Detection']

Lantern of Tracking,Common,Wondrous Item,No SubType,Not Required,['']

Lash of Shadows,Artifact,Weapon,Whip,Required,"['Language: Abyssal', 'Language: Draconic', 'Bonus: Magic', 'Finesse', 'Reach']"

Last Stand Armor,Very Rare,Armor,Breastplate,Not Required,['Bonus: Armor Class']

Leather Golem Armor,Rare,Armor,Leather,Required,"['Bonus: Armor Class', 'Resistance: Lightning']"

Libram of Souls and Flesh,Rare,Wondrous Item,No SubType,Required,['wizard']

Lifewell Tattoo,Very Rare,Wondrous Item,No SubType,Required,['Resistance: Necrotic']

Lightbringer,Uncommon,Weapon,Mace,Not Required,"['Bonus: Magic', 'Damage', 'Combat']"

Living Armor,Very Rare,Armor,Plate,Required,"['Bonus: Armor Class', 'Resistance: Necrotic', 'Resistance: Poison', 'Resistance: Psychic', 'Combat', 'Warding', 'Str 15 Required', 'Stealth Disadvantage']"

Living Gloves,Uncommon,Wondrous Item,No SubType,Required,"['Proficiency: Sleight of Hand', ""Proficiency: Thieves' Tools"", ""Proficiency: Choose a Musical Instrument or Artisan's Tools""]"

Living Loot Satchel,Varies,Wondrous Item,No SubType,Not Required,['']

Loadstone,Rare,Wondrous Item,No SubType,Not Required,"['Speed Reduction: Impose', 'Carrying Capacity: Multiplier', 'Movement', 'Cursed']"

Lock of Trickery,Common,Wondrous Item,No SubType,Not Required,['']

Lord�s Ensemble,Very Rare,Wondrous Item,No SubType,Required,['by a creature with a humanoid build']

Lorehold Primer,Uncommon,Wondrous Item,No SubType,Required,"['Bonus: History', 'Bonus: Religion', 'spellcaster']"

Lost Crown of Besilmer,Legendary,Wondrous Item,No SubType,Required,"['Advantage: Saving Throws', 'Resistance: Psychic', 'Buff', 'Warding']"

Luba�s Tarokka of Souls,Artifact,Wondrous Item,No SubType,Required,['']

Luck Blade,Legendary,Weapon,No SubType,Required,"['Bonus: Magic', 'Bonus: Saving Throws', 'Damage', 'Control', 'Buff', 'Combat']"

Luxon Beacon,Legendary,Wondrous Item,No SubType,Not Required,['']

Lyre of Building,Rare,Wondrous Item,No SubType,Required,['bard']

Mabaran Ebony Focus,Common,Wondrous Item,No SubType,Required,"['Combat', 'Focus']"

Mace of Disruption,Rare,Weapon,Mace,Required,"['Damage: Radiant', 'Damage', 'Bane']"

Mace of Smiting,Rare,Weapon,Mace,Not Required,"['Bonus: Magic', 'Damage', 'Combat', 'Bane']"

Mace of Terror,Rare,Weapon,Mace,Required,"['Frightened', 'Damage', 'Control', 'Debuff', 'Combat']"

Mace of the Black Crown,Artifact,Weapon,Mace,Required,"['Bonus: Magic', 'Language: Infernal', 'Damage: Fire']"

Mantle of Spell Resistance,Rare,Wondrous Item,No SubType,Required,"['Advantage: Saving Throws', 'Warding', 'Outerwear']"

Manual of Bodily Health,Very Rare,Wondrous Item,No SubType,Not Required,"['Bonus: Constitution Score', 'Bonus: Ability Score Maximum', 'Buff']"

Manual of Gainful Exercise,Very Rare,Wondrous Item,No SubType,Not Required,"['Bonus: Strength Score', 'Bonus: Ability Score Maximum', 'Buff']"

Manual of Golems,Very Rare,Wondrous Item,No SubType,Not Required,"['Creation', 'Consumable']"

Manual of Quickness of Action,Very Rare,Wondrous Item,No SubType,Not Required,"['Bonus: Dexterity Score', 'Bonus: Ability Score Maximum', 'Buff']"

Mariner's Armor,Uncommon,Armor,No SubType,Not Required,"['Set: Innate Speed (Swimming)', 'Movement', 'Exploration', 'Combat', 'Warding']"

Marvelous Pigments,Very Rare,Wondrous Item,No SubType,Not Required,"['Utility', 'Consumable']"

Mask of the Beast,Uncommon,Wondrous Item,No SubType,Not Required,['Utility']

Mask of the Dragon Queen,Artifact,Wondrous Item,No SubType,Required,"['Resistance: Acid', 'Resistance: Cold', 'Resistance: Fire', 'Resistance: Lightning', 'Resistance: Poison', 'Bonus: Legendary Resistance', 'Control', 'Warding']"

Masque Charm,Common,Wondrous Item,No SubType,Not Required,['']

Masquerade Tattoo,Common,Wondrous Item,No SubType,Required,['']

Master�s Amulet,Rare,Wondrous Item,No SubType,Not Required,['']

"Mastix, Whip of Erebos",Artifact,Weapon,Whip,Required,"['Bonus: Magic', 'Damage: Necrotic', 'Damage', 'Combat', 'Finesse', 'Reach']"

Matalotok,Legendary,Weapon,Warhammer,Required,"['Immunity: Cold', 'Damage: Cold', 'Versatile']"

Medallion of Thoughts,Uncommon,Wondrous Item,No SubType,Required,"['Social', 'Detection']"

Mighty Servant of Leuk-o,Artifact,Wondrous Item,No SubType,Required,['']

Mind Blade,Rare,Weapon,Longsword,Required,"['Damage: Psychic', 'specific mind flayer or one of its thralls', 'Damage', 'Combat', 'Versatile']"

Mind Carapace Armor,Uncommon,Armor,Plate,Required,"['Immunity: Frightened', 'Advantage: Intelligence Saving Throws', 'Advantage: Wisdom Saving Throws', 'Advantage: Charisma Saving Throws', 'specific individual', 'Warding', 'Str 15 Required', 'Stealth Disadvantage']"

Mind Lash,Rare,Weapon,Whip,Required,"['Damage: Psychic', 'mind flayer', 'Finesse', 'Reach']"

Mirror of Life Trapping,Very Rare,Wondrous Item,No SubType,Not Required,"['Control', 'Utility']"

Mirror of the Past,Rare,Wondrous Item,No SubType,Not Required,['Utility']

Mithral Armor,Uncommon,Armor,No SubType,Not Required,"['Stealth Disadvantage: Remove', 'Combat', 'Warding']"

"Mithral Half Plate, +1",Rare,Armor,Half Plate,Not Required,"['Stealth Disadvantage: Remove', 'Bonus: Armor Class', 'Combat', 'Warding', 'Stealth Disadvantage']"

Mizzium Apparatus,Uncommon,Wondrous Item,No SubType,Required,"['sorcerer', 'warlock', 'or wizard']"

Mizzium Armor,Rare,Armor,Breastplate,Not Required,['Immunity: Critical Hits']

Mizzium Mortar,Rare,Wondrous Item,No SubType,Not Required,['']

Molten Bronze Skin,Rare,Armor,Breastplate,Required,"['Set: Armor Class', 'Resistance: Fire', 'Stealth Disadvantage: Remove']"

Moodmark Paint,Common,Wondrous Item,No SubType,Not Required,['']

Moon Sickle,Varies,Weapon,Sickle,Required,"['Bonus: Magic', 'Bonus: Spell Attacks', 'Bonus: Spell Save DC', 'Bonus: Hit Points', 'Bonus to attacks', 'spell attacks', 'and spell save DCs for druids and rangers. Also gives bonus to healing spells.', 'druid or ranger', 'Light']"

Moonblade,Legendary,Weapon,Longsword,Required,"['Elf or Half-Elf of Neutral Good Alignment', 'Damage', 'Buff', 'Combat', 'Sentient', 'Versatile']"

Moon-Touched Sword,Common,Weapon,Greatsword,Not Required,"['Utility', 'Heavy', 'Two-Handed']"

Mummy Rot Antidote,Uncommon,Potion,No SubType,Not Required,['']

Murgaxor�s Orb,Legendary,Wondrous Item,No SubType,Required,['']

Mystery Key,Common,Wondrous Item,No SubType,Not Required,"['Utility', 'Exploration']"

Nature�s Mantle,Uncommon,Wondrous Item,No SubType,Required,['druid or ranger']

Navigation Orb,Very Rare,Wondrous Item,No SubType,Required,"['Control', 'Exploration']"

Necklace of Adaptation,Uncommon,Wondrous Item,No SubType,Required,"['Advantage: Saving Throws', 'Buff', 'Warding', 'Jewelry']"

Necklace of Fireballs,Rare,Wondrous Item,No SubType,Not Required,"['Damage', 'Combat', 'Jewelry']"

Necklace of Prayer Beads,Rare,Wondrous Item,No SubType,Required,"['Cleric', 'Druid', 'or Paladin', 'Healing', 'Summoning', 'Damage', 'Buff', 'Movement', 'Jewelry']"

Needle of Mending,Rare,Weapon,Dagger,Required,"['Bonus: Magic', 'Damage', 'Combat', 'Finesse', 'Light', 'Thrown']"

Nepenthe,Legendary,Weapon,Longsword,Required,"['Bonus: Magic', 'Damage: Radiant', 'Advantage: Saving Throws', 'Paladin', 'Damage', 'Combat', 'Warding', 'Versatile']"

Nether Scroll of Azumar,Legendary,Scroll,No SubType,Not Required,"['Bonus: Ability Score Maximum', 'Stacking Bonus: Intelligence Score', 'Advantage: Saving Throws']"

Night Caller,Uncommon,Wondrous Item,No SubType,Not Required,"['Summoning', 'Control']"

Nightfall Pearl,Legendary,Wondrous Item,No SubType,Required,['']

Nine Lives Stealer,Very Rare,Weapon,Longsword,Required,"['Bonus: Magic', 'Damage', 'Combat', 'Versatile']"

Nolzur's Marvelous Pigments,Very Rare,Wondrous Item,No SubType,Not Required,"['Utility', 'Consumable']"

Oathbow,Very Rare,Weapon,Longbow,Required,"['Damage: Piercing', 'Damage', 'Combat', 'Bane', 'Ammunition', 'Heavy', 'Range', 'Two-Handed']"

Obsidian Flint Dragon Plate,Legendary,Armor,Plate,Not Required,"['Bonus: Armor Class', 'Resistance: Poison', 'Advantage: Acrobatics', 'Advantage: Athletics', 'Advantage: Saving Throws', 'Str 15 Required', 'Stealth Disadvantage']"

Obviator�s Lenses,Varies,Wondrous Item,No SubType,Not Required,['']

Occultant Abacus,Varies,Wondrous Item,No SubType,Not Required,['']

Oil of Etherealness,Rare,Potion,No SubType,Not Required,"['Movement', 'Utility', 'Consumable']"

Oil of Sharpness,Very Rare,Potion,No SubType,Not Required,"['Bonus: Magic', 'Damage', 'Buff', 'Combat', 'Consumable']"

Oil of Slipperiness,Uncommon,Potion,No SubType,Not Required,"['Control', 'Movement', 'Utility', 'Consumable']"

Opal of the Ild Rune,Rare,Wondrous Item,No SubType,Required,"['Resistance: Cold', 'Damage', 'Warding']"

Orb of Direction,Common,Wondrous Item,No SubType,Not Required,['Exploration']

Orb of Dragonkind,Artifact,Wondrous Item,No SubType,Required,"['Healing', 'Summoning', 'Control', 'Scrying', 'Detection']"

Orb of Gonging,Common,Wondrous Item,No SubType,Not Required,['Utility']

Orb of Shielding,Common,Wondrous Item,No SubType,Required,"['Warding', 'Focus']"

Orb of the Stein Rune,Rare,Wondrous Item,No SubType,Required,"['Immunity: Petrified', 'Movement', 'Warding']"

Orb of the Veil,Very Rare,Wondrous Item,No SubType,Required,"['Sense: Darkvision', 'Bonus: Wisdom Score', 'Bonus: Ability Score Maximum', 'Advantage: Wisdom Ability Checks']"

Orb of Time,Common,Wondrous Item,No SubType,Not Required,['Exploration']

Orc Stone,Uncommon,Wondrous Item,No SubType,Required,['recipient only']

Orcsplitter,Legendary,Weapon,Greataxe,Required,"['Bonus: Magic', 'Immunity: Frightened', 'Good-Aligned Dwarf', 'Fighter', 'or Paladin', 'Damage', 'Combat', 'Warding', 'Sentient', 'Heavy', 'Two-Handed']"

Orcus Figurine,Unknown Rarity,Wondrous Item,No SubType,Not Required,['']

Ornithopter of Flying,Very Rare,Wondrous Item,No SubType,Not Required,['Set: Speed (Flying)']

Orrery of the Wanderer,Artifact,Wondrous Item,No SubType,Required,['Bonus: Armor Class']

Outer Essence Shard,Rare,Wondrous Item,No SubType,Required,"['Bonus: Temporary Hit Points', 'Damage: Necrotic', 'sorcerer']"

Paper Bird,Uncommon,Wondrous Item,No SubType,Not Required,['']

Pariah�s Shield,Rare,Armor,Shield,Required,['']

Pearl of Power,Uncommon,Wondrous Item,No SubType,Required,"['Spellcaster', 'Buff', 'Utility']"

Pennant of the Vind Rune,Very Rare,Wondrous Item,No SubType,Required,"['Buff', 'Movement']"

Peregrine Mask,Very Rare,Wondrous Item,No SubType,Required,"['Set: Innate Speed (Flying)', 'Advantage: Initiative']"

Perfume of Bewitching,Common,Wondrous Item,No SubType,Not Required,"['Buff', 'Social']"

Periapt of Health,Uncommon,Wondrous Item,No SubType,Not Required,"['Immunity: Disease', 'Immunity: Disease', 'Warding', 'Jewelry']"

Periapt of Proof against Poison,Rare,Wondrous Item,No SubType,Not Required,"['Immunity: Poison', 'Immunity: Poisoned', 'Warding', 'Jewelry']"

Periapt of Wound Closure,Uncommon,Wondrous Item,No SubType,Required,"['Healing', 'Warding', 'Jewelry']"

Philter of Love,Uncommon,Potion,No SubType,Not Required,"['Charmed', 'Control', 'Consumable']"

Piercer,Rare,Weapon,Shortsword,Required,"['Bonus: Magic', 'Damage', 'Combat', 'Finesse', 'Light']"

Pipe of Remembrance,Common,Wondrous Item,No SubType,Not Required,['Utility']

Pipe of Smoke Monsters,Common,Wondrous Item,No SubType,Not Required,['Social']

Pipes of Haunting,Uncommon,Wondrous Item,No SubType,Not Required,"['Frightened', 'Control', 'Instrument']"

Pipes of the Sewers,Uncommon,Wondrous Item,No SubType,Required,"['Summoning', 'Control', 'Instrument']"

Piwafwi (Cloak of Elvenkind),Uncommon,Wondrous Item,No SubType,Required,"['Advantage: Stealth', 'Deception']"

Piwafwi of Fire Resistance,Rare,Wondrous Item,No SubType,Required,"['Resistance: Fire', 'Advantage: Stealth', 'Deception', 'Warding']"

Pixie Dust,Uncommon,Wondrous Item,No SubType,Not Required,['Set: Speed (Flying)']

Planecaller�s Codex,Rare,Wondrous Item,No SubType,Required,['wizard']

Plate Armor of Etherealness,Legendary,Armor,Plate,Required,"['Utility', 'Combat', 'Warding', 'Str 15 Required', 'Stealth Disadvantage']"

Platinum Scarf,Legendary,Wondrous Item,No SubType,Required,['']

Pole of Angling,Common,Wondrous Item,No SubType,Not Required,['Utility']

Pole of Collapsing,Common,Wondrous Item,No SubType,Not Required,"['Utility', 'Exploration']"

Polymorph Blade,Very Rare,Weapon,No SubType,Required,['']

Portable Hole,Rare,Wondrous Item,No SubType,Not Required,"['Utility', 'Container']"

Portfolio Keeper,Varies,Wondrous Item,No SubType,Not Required,['']

Pot of Awakening,Common,Wondrous Item,No SubType,Not Required,['']

Potion of Advantage,Uncommon,Potion,No SubType,Not Required,"['Advantage: Melee Attacks', 'Advantage: Ranged Attacks', 'Advantage: Ability Checks', 'Advantage: Saving Throws']"

Potion of Animal Friendship,Uncommon,Potion,No SubType,Not Required,"['Control', 'Communication', 'Consumable']"

Potion of Aqueous Form,Rare,Potion,No SubType,Not Required,"['Shapechanging', 'Consumable']"

Potion of Clairvoyance,Rare,Potion,No SubType,Not Required,"['Scrying', 'Detection', 'Consumable']"

Potion of Climbing,Common,Potion,No SubType,Not Required,"['Set: Innate Speed (Climbing)', 'Advantage: Athletics', 'Buff', 'Movement', 'Consumable']"

Potion of Comprehension,Common,Potion,No SubType,Not Required,['Consumable']

Potion of Diminution,Rare,Potion,No SubType,Not Required,"['Control', 'Utility', 'Consumable']"

Potion of Dragon's Majesty,Legendary,Potion,No SubType,Not Required,['']

Potion of Fire Breath,Uncommon,Potion,No SubType,Not Required,"['Damage: Fire', 'Damage']"

Potion of Flying,Very Rare,Potion,No SubType,Not Required,"['Set: Innate Speed (Flying)', 'Movement', 'Utility', 'Consumable']"

Potion of Gaseous Form,Rare,Potion,No SubType,Not Required,"['Movement', 'Utility', 'Warding', 'Consumable']"

